e, e_dot, e_int, stamp, 
-0.4335725970921419, 1.5308705044366395e-08, -0.08671452039462046, 500536000000, 
-0.4335725848823283, 7.420027814397656e-08, -0.08671451927445879, 500604000000, 
-0.43357259510838936, 6.612508503719046e-09, -0.08671451847219064, 500672000000, 
-0.43357261885709936, -1.1324923684015904e-07, -0.08671451992318781, 500740000000, 
-0.433572624079279, -9.656963210572893e-08, -0.08671452253631784, 500774000000, 
-0.4359939336157436, -0.008071049195480887, -0.08687594510347481, 500876000000, 
-0.4241198317563412, 0.031509307743125915, -0.0862457592967576, 500944000000, 
-0.40122153530863947, 0.11590799435701386, -0.08408902004538162, 501012000000, 
-0.3816361467197951, 0.14161228345515364, -0.08046516758565173, 501080000000, 
-0.361241560068674, 0.13326658413321832, -0.0762732828064739, 501148000000, 
-0.35114602234793585, 0.10163374790619757, -0.07293491527576033, 501182000000, 
-0.32976854413918205, 0.10491005309830641, -0.06947707510371946, 501250000000, 
-0.31925620288165363, 0.10629939822094074, -0.06667805129125144, 501284000000, 
-0.2917129285374044, 0.12685205200592556, -0.062715845037216, 501386000000, 
-0.2852091744694435, 0.11349009470736711, -0.059745220392566765, 501420000000, 
-0.2723478266568356, 0.06455033960189593, -0.056617995310912224, 501488000000, 
-0.2543340319314814, 0.10291714179320695, -0.05412606887051737, 501590000000, 
-0.2426315638004559, 0.0990542095212657, -0.051287561492584864, 501658000000, 
-0.23177543387368388, 0.0751953268593251, -0.04858273530704141, 501726000000, 
-0.22691666858968823, 0.0523829840358922, -0.0467549110842552, 501760000000, 
-0.21907203161287986, 0.042344674202680066, -0.04518427560508346, 501828000000, 
-0.20947298147920462, 0.058145623701612026, -0.04369744544545151, 501896000000, 
-0.204319265397442, 0.04917588738479287, -0.04219095189930176, 501930000000, 
-0.193190554725379, 0.05427475584608543, -0.040465520106801704, 502032000000, 
-0.18557942713442704, 0.062466127543383175, -0.038872616483816534, 502100000000, 
-0.1777819589040222, 0.05136198607118928, -0.03710346271758855, 502168000000, 
-0.16928307113634522, 0.05432118666027275, -0.035509630478319634, 502236000000, 
-0.16216118929994017, 0.0520692320136068, -0.033948414622687176, 502304000000, 
-0.1546959061186357, 0.04862388339236504, -0.03240934443699474, 502372000000, 
-0.15123932435218101, 0.03640621649253051, -0.031206427984717126, 502406000000, 
-0.14516035441260206, 0.0317851723534455, -0.030073038992227918, 502474000000, 
-0.13936935986761145, 0.03956654828189854, -0.029051269242159634, 502542000000, 
-0.13636595317897704, 0.02931467077875005, -0.028059711163946035, 502576000000, 
-0.13099214039989138, 0.027924064892400253, -0.02711516356309866, 502644000000, 
-0.1258262995506202, 0.03513217876118949, -0.02621229287529924, 502712000000, 
-0.12334842330505486, 0.025479056982788406, -0.025344457550371093, 502746000000, 
-0.11823672176346806, 0.02529859262384045, -0.024494096307942873, 502814000000, 
-0.11313673041069983, 0.034038976314516765, -0.023648125031948183, 502882000000, 
-0.10856389414572393, 0.03224275872581376, -0.022662489754659454, 502950000000, 
-0.10374858189656389, 0.03129382838045314, -0.021696613763532508, 503018000000, 
-0.09947266573048896, 0.03030409471744988, -0.020785676118185117, 503086000000, 
-0.09754274175498556, 0.020686133805261075, -0.020050932625469226, 503120000000, 
-0.09328573142674029, 0.0206231143458289, -0.01935340926081432, 503188000000, 
