e, e_dot, e_int, stamp, 
6.87797142089671, 2.7426011091809716e-08, 1.3755942826788747, 500536000000, 
6.877971438779979, 1.0720825116550259e-07, 1.375594284419613, 500604000000, 
6.8779714279365765, 2.346622155850279e-08, 1.3755942858408843, 500672000000, 
6.877971399060665, -1.3239771353331284e-07, 1.375594284385148, 500740000000, 
6.877971393315957, -1.1540206420098305e-07, 1.3755942813542132, 500774000000, 
6.874797961161098, -0.010578126331889, 1.3753827169025148, 500876000000, 
6.868933726702594, -0.030125555377876385, 1.3747802054119767, 500944000000, 
6.86257904779086, -0.0407297112341265, 1.3737540490436368, 501012000000, 
6.856172505209653, -0.04253740497647188, 1.3725123519802072, 501080000000, 
6.849704005881205, -0.04291680636551831, 1.3712303705921145, 501148000000, 
6.846450312362668, -0.03240730948994871, 1.3701551215635683, 501182000000, 
6.839901370478728, -0.03267545134158981, 1.3690703792481735, 501250000000, 
6.836608727891248, -0.0328052815714012, 1.3681973607155096, 501284000000, 
6.82667487778713, -0.04408830897199382, 1.3668789984104737, 501386000000, 
6.823352286054865, -0.044188139454609164, 1.3657757261155496, 501420000000, 
6.816691434755142, -0.033278143439960196, 1.3644479065731425, 501488000000, 
6.806665934191805, -0.05562117287686519, 1.3631139770001208, 501590000000, 
6.7999594677903, -0.05577322321613861, 1.3615544557824832, 501658000000, 
6.793236475110601, -0.04476486360401507, 1.3599907918061804, 501726000000, 
6.789869686851787, -0.03363260312837587, 1.3588710419835126, 501760000000, 
6.7831296573380895, -0.03368939257503811, 1.357749054620032, 501828000000, 
6.776373136723251, -0.04498850042845485, 1.3566248320608751, 501896000000, 
6.772989235195853, -0.03380140714078846, 1.3554994686171464, 501930000000, 
6.762830628237581, -0.04514169495223245, 1.3541462000104456, 502032000000, 
6.756050253842776, -0.056463271176922326, 1.3527913411517474, 502100000000, 
6.749264403593595, -0.045220748813286825, 1.3512096857115967, 502168000000, 
6.742472591060599, -0.045258875940591047, 1.3498524832331313, 502236000000, 
6.7356777852958185, -0.045288727659255436, 1.348494318663334, 502304000000, 
6.728877061499378, -0.045318431870737065, 1.3471351625237198, 502372000000, 
6.725475011152908, -0.034009247143034216, 1.3460019905298737, 502406000000, 
6.718668327676771, -0.03402911274202225, 1.344868026688604, 502474000000, 
6.711858581328245, -0.04538809941554275, 1.3437334613438618, 502542000000, 
6.7084526744443576, -0.034052177441378596, 1.3425986388966251, 502576000000, 
6.701641160176692, -0.034058070505178506, 1.3414634943966197, 502644000000, 
6.6948299491417025, -0.04540908434218357, 1.34032825225085, 502712000000, 
6.691424630284881, -0.03405509963937033, 1.339193049306885, 502746000000, 
6.684613590913974, -0.034054527425760504, 1.338057878022704, 502814000000, 
6.677802229744235, -0.04540800180215262, 1.3369226967295391, 502882000000, 
6.670990859112859, -0.04540910600371836, 1.3355604453180712, 502950000000, 
