odom_x, odom_y, imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-1.999941629348908, -0.5000009945916165, -0.088125491944932, -0.0035499746094550567, -0.058750327963287996, -1.0547478334378976e-13, 2.170953905109716e-06, -4.8584533782839227e-08, -1.999941629348908, -0.5000009945916165, 16230000000, 
-1.9999416446407807, -0.5000009945078657, -0.06365102724219247, 0.012078775619431839, -0.06181270364217932, 1.2547648477369482e-11, -0.00022332589720011072, -5.618537139974495e-08, -1.9999401106515717, -0.5000009945901189, 16240000000, 
-1.9999416477839076, -0.5000009946018343, -0.012400532749849813, -0.013407565291895827, -0.031221877922524042, -8.200311684298759e-10, -0.00045870664728924035, 1.7877028233096437e-06, -1.999937438728916, -0.5000009945874978, 16260000000, 
-1.9999416451855785, -0.5000009945969565, -0.04764153156118052, 0.015518689193808614, -0.04136711698532447, 2.275236227925618e-09, -0.0006062989944790664, -3.752663699995918e-06, -1.9999367856134, -0.5000009945865996, 16292000000, 
-1.999941637682997, -0.5000009945914243, -0.014565592314815773, -0.006060484020654746, -0.02480039054084714, -3.3397804124881626e-10, -0.00041697640368982755, 8.00951896302625e-07, -1.999938054516933, -0.500000994588083, 16307000000, 
-1.9999416212106054, -0.5000009945674462, -0.04588571967165687, 0.014728028035600272, -0.037818516954366097, 3.0591133445318366e-09, -0.0008668705364977167, -3.528916044247045e-06, -1.9999247736182197, -0.5000009945744794, 16369000000, 
-1.999941598819679, -0.5000009946126177, -0.05325196728637482, -0.014402483430876089, -0.047354207306600574, -3.272951607771284e-09, -0.0005174548760765344, 6.325095692570489e-06, -1.9999207158196703, -0.5000009945716138, 16380000000, 
-1.999941602075888, -0.5000009945646694, -0.06341954140087702, 0.011551657434868346, -0.05727265770822223, 1.3271971486790793e-09, -0.0010009065195656997, -1.3259951081695016e-06, -1.9999070022273526, -0.5000009945569688, 16421000000, 
-1.9999416044242102, -0.5000009946184021, -0.035731904351187005, -0.0062112105641253, -0.04394449234333789, -4.169304166271662e-09, -0.001263674879740947, 3.2993487748418076e-06, -1.9998998069823017, -0.5000009945527754, 16466000000, 
-1.9999416194846311, -0.5000009945149236, -0.03838424351030373, 0.03557040781645353, -0.04049211692155898, 3.3021909417762457e-08, -0.0012426963109374231, -2.6572791056933702e-05, -1.9999034856646956, -0.50000099453663, 16513000000, 
-1.9999416230538887, -0.5000009946279118, -0.058760922779856874, 0.04498072622795469, -0.05177483330094091, 4.247628075152759e-08, -0.0009493731854799061, -4.474139506063248e-05, -1.9999044698141086, -0.5000009945143394, 16540000000, 
-1.9999416208298837, -0.5000009946237011, -0.06003836476356885, -0.003461530054798263, -0.05687701233302322, 1.199849057156775e-08, -0.0007949136530377109, -1.5094080376801048e-05, -1.9999035283369788, -0.5000009945115171, 16561000000, 
-1.9999416137081156, -0.50000099461845, -0.050935451133559816, 0.015386689898917505, -0.0531944723200664, 1.4463467249118132e-08, -0.0010825135578265118, -1.3361003328363033e-05, -1.9998973419012513, -0.500000994506541, 16598000000, 
-1.9999415976144408, -0.5000009945947405, -0.07673140546847657, 0.011226013960093218, -0.06772051043598368, 1.9546813646864867e-08, -0.0015448192698172374, -1.2653139450530927e-05, -1.9998848011345163, -0.5000009945084548, 16648000000, 
-1.9999415833453036, -0.5000009946374426, -0.056685851474474844, -0.005053752350189687, -0.060891404113038505, 5.605276631621567e-11, -0.001201574767420742, -4.664942027414287e-08, -1.9998851297951605, -0.5000009944983816, 16673000000, 
-1.9999415913880105, -0.5000009945569269, -0.04646537265434392, -0.010747552764729898, -0.051970463964805286, -7.044904378477331e-09, -0.0008900536888363157, 7.915145419697166e-06, -1.999887549850873, -0.5000009944910585, 16693000000, 
-1.999941593901652, -0.5000009946500265, -0.06478258740937737, 0.010605483898875412, -0.05988287432684112, 2.466011924702116e-09, -0.0008665795175222754, -2.8456845273160145e-06, -1.9998880562625, -0.5000009944853773, 16718000000, 
-1.9999416093084403, -0.5000009945462914, -0.06541476713547878, -0.028214683777800963, -0.06327985637412215, -2.226153774740532e-08, -0.0015933719083011822, 1.3971338161183023e-05, -1.9998666322125644, -0.5000009945377439, 16772000000, 
-1.9999416132138956, -0.5000009946592131, -0.06003929620100283, 0.009038558427064098, -0.061264566272121325, 4.855196432896917e-09, -0.0013449035063878506, -3.610070469618323e-06, -1.9998682317563639, -0.5000009945296509, 16803000000, 
-1.999941611327296, -0.5000009946549353, -0.06319413559692026, 0.009224168289228155, -0.06243335828079087, 1.5776733403990204e-08, -0.0017372728331938479, -9.08132165687864e-06, -1.9998586205313422, -0.5000009945468609, 16855000000, 
-1.9999416045418557, -0.5000009946496188, -0.07322902465583042, 0.0012983451886323977, -0.06909915412841047, 5.22138516981487e-09, -0.0010658462649399381, -4.898816406800564e-06, -1.999856581850694, -0.5000009945482644, 16871000000, 
-1.9999415887833998, -0.5000009946258481, -0.10107371701634685, -0.02486543891711465, -0.08884197426433518, -2.4207001805386005e-08, -0.0016730258329290997, 1.4468994637700769e-05, -1.9998401050151067, -0.5000009945904647, 16914000000, 
-1.9999415671036147, -0.5000009946712015, -0.07109118300646605, 0.014059340407083688, -0.07785696383136088, 1.4749377744804135e-08, -0.0016289925916546538, -9.054293936243389e-06, -1.9998378899125557, -0.5000009945830587, 16945000000, 
